x,y,width,height,prediction,probability_no_oil,probability_oil,confidence
0,0,400,400,no_oil,0.6402649283409119,0.35973504185676575,0.6402649283409119
400,0,400,400,oil,0.14268720149993896,0.8573128581047058,0.8573128581047058
800,0,400,400,oil,0.11533304303884506,0.8846669793128967,0.8846669793128967
1200,0,80,400,no_oil,0.9067882895469666,0.09321171790361404,0.9067882895469666
0,400,400,400,no_oil,0.5206760168075562,0.47932401299476624,0.5206760168075562
400,400,400,400,no_oil,0.8830307722091675,0.11696917563676834,0.8830307722091675
800,400,400,400,oil,0.07030725479125977,0.9296926856040955,0.9296926856040955
1200,400,80,400,no_oil,0.8068894743919373,0.19311049580574036,0.8068894743919373
0,800,400,141,oil,0.2826877236366272,0.717312216758728,0.717312216758728
400,800,400,141,no_oil,0.8006865978240967,0.19931338727474213,0.8006865978240967
800,800,400,141,no_oil,0.5660102963447571,0.43398964405059814,0.5660102963447571
1200,800,80,141,no_oil,0.6893386244773865,0.3106613755226135,0.6893386244773865
